question,startpoint,endpoint,opt1,opt2,correct_choice,question_id,prompt_id
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. journey wants to pass a message most efficiently to crystal, should journey begin by passing the message on to marc or april?",journey,crystal,marc,april,marc,89,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. hao wants to pass a message most efficiently to kelly, should hao begin by passing the message on to april or journey?",hao,kelly,april,journey,journey,90,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. hao wants to pass a message most efficiently to kelly, should hao begin by passing the message on to journey or maria?",hao,kelly,journey,maria,journey,91,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. hao wants to pass a message most efficiently to imani, should hao begin by passing the message on to journey or april?",hao,imani,journey,april,journey,92,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. hao wants to pass a message most efficiently to imani, should hao begin by passing the message on to maria or journey?",hao,imani,maria,journey,journey,93,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. april wants to pass a message most efficiently to kelly, should april begin by passing the message on to hao or journey?",april,kelly,hao,journey,journey,94,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. april wants to pass a message most efficiently to kelly, should april begin by passing the message on to journey or maria?",april,kelly,journey,maria,journey,95,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. april wants to pass a message most efficiently to kelly, should april begin by passing the message on to london or journey?",april,kelly,london,journey,journey,96,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. april wants to pass a message most efficiently to imani, should april begin by passing the message on to journey or hao?",april,imani,journey,hao,journey,97,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. april wants to pass a message most efficiently to imani, should april begin by passing the message on to journey or maria?",april,imani,journey,maria,journey,98,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. april wants to pass a message most efficiently to imani, should april begin by passing the message on to journey or london?",april,imani,journey,london,journey,99,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. maria wants to pass a message most efficiently to summer, should maria begin by passing the message on to hao or usher?",maria,summer,hao,usher,hao,100,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. maria wants to pass a message most efficiently to summer, should maria begin by passing the message on to usher or april?",maria,summer,usher,april,april,101,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. london wants to pass a message most efficiently to summer, should london begin by passing the message on to usher or april?",london,summer,usher,april,april,102,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. summer wants to pass a message most efficiently to maria, should summer begin by passing the message on to kelly or marc?",summer,maria,kelly,marc,marc,103,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. summer wants to pass a message most efficiently to maria, should summer begin by passing the message on to imani or marc?",summer,maria,imani,marc,marc,104,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. summer wants to pass a message most efficiently to london, should summer begin by passing the message on to marc or kelly?",summer,london,marc,kelly,marc,105,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. summer wants to pass a message most efficiently to london, should summer begin by passing the message on to marc or imani?",summer,london,marc,imani,marc,106,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. kelly wants to pass a message most efficiently to hao, should kelly begin by passing the message on to kira or summer?",kelly,hao,kira,summer,summer,107,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. kelly wants to pass a message most efficiently to april, should kelly begin by passing the message on to summer or kira?",kelly,april,summer,kira,summer,108,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. imani wants to pass a message most efficiently to hao, should imani begin by passing the message on to summer or crystal?",imani,hao,summer,crystal,summer,109,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. imani wants to pass a message most efficiently to april, should imani begin by passing the message on to summer or crystal?",imani,april,summer,crystal,summer,110,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. kira wants to pass a message most efficiently to journey, should kira begin by passing the message on to crystal or kelly?",kira,journey,crystal,kelly,kelly,111,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. kira wants to pass a message most efficiently to journey, should kira begin by passing the message on to genesis or kelly?",kira,journey,genesis,kelly,kelly,112,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. crystal wants to pass a message most efficiently to journey, should crystal begin by passing the message on to kira or imani?",crystal,journey,kira,imani,imani,113,19
"hao is friends with maria. imani is friends with summer. london is friends with usher. maria is friends with hao. kira is friends with kelly. maria is friends with april. kira is friends with genesis. journey is friends with hao. journey is friends with april. kelly is friends with summer. hao is friends with journey. hao is friends with april. usher is friends with maria. april is friends with maria. april is friends with hao. usher is friends with london. maria is friends with usher. genesis is friends with kira. crystal is friends with imani. summer is friends with marc. kira is friends with crystal. crystal is friends with kira. marc is friends with journey. crystal is friends with genesis. london is friends with april. imani is friends with crystal. april is friends with london. journey is friends with marc. summer is friends with imani. genesis is friends with crystal. kelly is friends with kira. summer is friends with kelly. april is friends with journey. marc is friends with summer. crystal wants to pass a message most efficiently to journey, should crystal begin by passing the message on to imani or genesis?",crystal,journey,imani,genesis,imani,114,19
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. asia wants to pass a message most efficiently to reed, should asia begin by passing the message on to leo or imani?",asia,reed,leo,imani,imani,0,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. asia wants to pass a message most efficiently to mila, should asia begin by passing the message on to leo or imani?",asia,mila,leo,imani,imani,1,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. asia wants to pass a message most efficiently to sage, should asia begin by passing the message on to imani or leo?",asia,sage,imani,leo,leo,2,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. asia wants to pass a message most efficiently to john, should asia begin by passing the message on to imani or leo?",asia,john,imani,leo,leo,3,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. imani wants to pass a message most efficiently to christian, should imani begin by passing the message on to asia or reed?",imani,christian,asia,reed,reed,4,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. imani wants to pass a message most efficiently to christian, should imani begin by passing the message on to asia or mila?",imani,christian,asia,mila,mila,5,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. imani wants to pass a message most efficiently to genesis, should imani begin by passing the message on to mila or asia?",imani,genesis,mila,asia,mila,6,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. imani wants to pass a message most efficiently to genesis, should imani begin by passing the message on to mila or reed?",imani,genesis,mila,reed,mila,7,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. imani wants to pass a message most efficiently to leo, should imani begin by passing the message on to reed or asia?",imani,leo,reed,asia,asia,8,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. imani wants to pass a message most efficiently to leo, should imani begin by passing the message on to mila or asia?",imani,leo,mila,asia,asia,9,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. reed wants to pass a message most efficiently to asia, should reed begin by passing the message on to imani or mila?",reed,asia,imani,mila,imani,10,20
"mila is friends with christian. genesis is friends with mila. christian is friends with hope. amy is friends with daniel. mila is friends with reed. daniel is friends with amy. john is friends with amy. imani is friends with mila. genesis is friends with hope. amy is friends with john. hope is friends with christian. usher is friends with amy. christian is friends with mila. reed is friends with imani. usher is friends with sage. reed is friends with christian. asia is friends with imani. mila is friends with imani. daniel is friends with usher. asia is friends with leo. sage is friends with usher. imani is friends with asia. christian is friends with reed. mila is friends with genesis. leo is friends with john. amy is friends with usher. reed is friends with mila. sage is friends with leo. imani is friends with reed. hope is friends with genesis. usher is friends with daniel. john is friends with leo. leo is friends with asia. leo is friends with sage. reed wants to pass a message most efficiently to asia, should reed begin by passing the message on to imani or christian?",reed,asia,imani,christian,imani,11,20
